description,category
Fire extinguisher ABC type 4kg installation,Fire
Wet riser system piping and valve installation,Fire
Fire damper installation in HVAC duct,Fire
Supplying and fixing fire rated door 2 hour rating,Fire
Installation of fire suppression FM200 system,Fire
Providing and fixing fire exit signage illuminated,Fire
Installation of manual call point for fire alarm,Fire
Supplying and fixing deluge valve system,Fire
Fire fighting pump house piping installation,Fire
Installation of fire hydrant landing valve,Fire
Providing and fixing fire alarm hooter cum strobe,Fire
Supplying and fixing sprinkler head pendent type,Fire
Installation of jockey pump for fire system,Fire
Providing and fixing fire brigade inlet connection,Fire
Installation of beam detector for fire alarm,Fire
Supplying and fixing fire hose cabinet MS,Fire
Installation of fire alarm control panel 8 zone,Fire
Providing and fixing yard hydrant double headed,Fire
RCC concrete M25 grade for foundation work,Civil
Brick masonry 230mm thick with cement mortar,Civil
Plastering 12mm thick cement sand mortar 1:4,Civil
Ceramic tile 600x600 vitrified for flooring,Civil
Steel reinforcement Fe500 for RCC work,Civil
Concrete block 200mm solid for wall construction,Civil
Waterproofing treatment for terrace with membrane,Civil
PCC 1:4:8 for levelling course 75mm thick,Civil
Formwork for RCC columns and beams,Civil
Anti termite treatment for foundation,Civil
Providing and laying granite flooring 18mm thick polished,Civil
Cement concrete 1:2:4 for roof slab casting,Civil
Supplying and fixing aluminium window section,Civil
Providing and applying putty and painting 2 coats,Civil
Earth work excavation in ordinary soil,Civil
Providing and laying AAC block 200mm for partition,Civil
Installation of false ceiling grid with tiles,Civil
Providing and fixing MS railing for staircase,Civil
Supplying and laying marble flooring Italian,Civil
Providing and applying exterior texture paint,Civil
Construction of retaining wall RCC M30,Civil
Providing and fixing glass partition 12mm toughened,Civil
Supplying and fixing wooden door frame with shutter,Civil
Providing and laying kota stone flooring,Civil
Installation of expansion joint filler board,Civil
Sewage pump 2HP submersible installation,PHE
Drainage pipe 100mm HDPE for waste water,PHE
Grease trap 500L capacity for kitchen waste,PHE
Manhole cover 600x600 heavy duty CI,PHE
STP plant installation 50KLD capacity,PHE
Rainwater harvesting pipe and filter installation,PHE
Sump pump installation for basement drainage,PHE
Inspection chamber construction 600x600,PHE
Sewage treatment plant MBR technology,PHE
Storm water drain pipe 200mm RCC,PHE
Providing and fixing CI manhole frame and cover,PHE
Installation of submersible sewage pump 5HP,PHE
Supplying and fixing HDPE pipe 160mm for drainage,PHE
Providing and constructing septic tank 2000L,PHE
Installation of rainwater downpipe 100mm PVC,PHE
Providing and fixing floor drain 150mm SS grating,PHE
Construction of catch pit for storm water,PHE
Installation of oil and grease separator,PHE
Providing and laying sewer line 150mm dia,PHE
Supplying and fixing vent pipe 75mm PVC,PHE
Providing and constructing soak pit 1.5m dia,PHE
Installation of effluent treatment plant 25KLD,PHE
Supplying and fixing rodding eye 100mm,PHE
Providing and fixing nahani trap 100mm CP,PHE
Installation of sewage ejector pump system,PHE
HVAC duct installation GI sheet 24 gauge,Other
Air conditioning split unit 1.5 ton installation,Other
Chilled water pipe insulation 25mm thick,Other
AHU air handling unit installation 5TR,Other
VRF system installation with piping,Other
Elevator installation passenger 8 person,Other
DG set 500KVA installation with foundation,Other
Solar panel installation 10KW rooftop,Other
CCTV camera installation with DVR system,Other
Access control system biometric installation,Other
Providing and fixing acoustic ceiling tiles,Other
Installation of building management system BMS,Other
Supplying and fixing automatic sliding door,Other
Providing and installing intercom system,Other
Installation of lightning arrester for building,Other
Providing and fixing signage board SS letters,Other
Installation of water cooler with RO system,Other
Supplying and fixing motorized rolling shutter,Other
Providing and installing PA public address system,Other
Installation of STP control panel automation,Other
Supplying and fixing boom barrier for parking,Other
Supplying and fixing CPVC pipe 15mm for hot water line,Plumbing
Providing and fixing dual flush cistern for WC,Plumbing
Installation of water supply booster pump 1HP,Plumbing
Supplying and fixing GI pipe 50mm for water main,Plumbing
Providing and fixing long body bib cock 15mm,Plumbing
Installation of concealed stop cock 15mm,Plumbing
Supplying and fixing wash basin counter top type,Plumbing
Providing and fixing European WC with seat cover,Plumbing
Installation of mixing valve thermostatic type,Plumbing
Supplying and fixing bottle trap 32mm CP,Plumbing
Providing and fixing rain shower 200mm overhead,Plumbing
Installation of water softener for supply line,Plumbing
Supplying and fixing diverter for bath shower,Plumbing
Providing and fixing mirror with shelf for bathroom,Plumbing
Installation of instant water heater 3KW,Plumbing
Providing and fixing 3 phase DB with MCB and RCCB,Electrical
Installation of cable gland and lug termination,Electrical
Supplying and laying PVC conduit 20mm with accessories,Electrical
Providing and fixing wall mounted light bracket type,Electrical
Installation of motion sensor light switch,Electrical
Supplying and fixing telephone outlet with box,Electrical
Providing and fixing data outlet RJ45 cat6,Electrical
Installation of TV outlet point with cabling,Electrical
Supplying and fixing industrial plug socket 32A,Electrical
Providing and fixing weatherproof switch socket,Electrical
Installation of timer switch for lighting control,Electrical
Supplying and fixing dimmer switch electronic,Electrical
Providing and fixing bus bar trunking system,Electrical
Installation of energy meter digital 3 phase,Electrical
Supplying and fixing spike guard 6 way with surge,Electrical
Installation of fire rated cable 2.5mm for alarm,Fire
Providing and fixing heat detector rate of rise,Fire
Supplying and fixing fire blanket for kitchen,Fire
Installation of gas suppression system CO2,Fire
Providing and fixing fire door closer hydraulic,Fire
Supplying and fixing fire stop sealant for penetration,Fire
Installation of linear heat detection cable,Fire
Providing and fixing portable fire extinguisher DCP,Fire
Supplying and fixing fire pump controller panel,Fire
Installation of water mist fire suppression system,Fire
Providing and fixing fire escape ladder aluminium,Fire
Supplying and fixing fire resistant paint coating,Fire
Installation of aspirating smoke detection system,Fire
Providing and fixing fire curtain automatic,Fire
Supplying and fixing standpipe system for high rise,Fire
Providing and laying vitrified tile 800x800 double charge,Civil
Earth filling and compaction in layers 200mm,Civil
Providing and fixing MS handrail for balcony,Civil
Construction of compound wall brick masonry,Civil
Providing and applying primer and enamel paint,Civil
Installation of precast concrete kerb stone,Civil
Providing and fixing UPVC window with glass,Civil
Construction of overhead water tank RCC,Civil
Providing and laying interlocking paver block 80mm,Civil
Installation of roof insulation XPS board 50mm,Civil
Providing and fixing gypsum board partition,Civil
Construction of storm water drain open channel,Civil
Providing and applying waterproof cement plaster,Civil
Installation of stone cladding for exterior wall,Civil
Providing and fixing FRP door for bathroom,Civil
Installation of underground sump RCC 10000L,PHE
Providing and fixing PP inspection chamber 450mm,PHE
Supplying and laying DWC pipe 200mm for drainage,PHE
Installation of bar screen for STP inlet,PHE
Providing and fixing air release valve for sewer,PHE
Construction of RCC drain 300x300 with cover,PHE
Installation of dewatering pump for excavation,PHE
Providing and fixing PVC gully trap 100mm,PHE
Supplying and laying perforated pipe for french drain,PHE
Installation of water level sensor for sump,PHE
Providing and fixing backflow preventer for drainage,PHE
Construction of gravel filter bed for rainwater,PHE
Installation of centrifugal pump for water transfer,PHE
Providing and fixing SS floor drain 200mm square,PHE
Supplying and laying HDPE geomembrane for lining,PHE
Installation of packaged STP 100KLD,Other
Providing and fixing VRV outdoor unit 20HP,Other
Supplying and installing copper pipe for AC refrigerant,Other
Installation of cooling tower FRP 100TR,Other
Providing and fixing ACP cladding for facade,Other
Installation of passenger lift 13 person MRL,Other
Supplying and fixing automatic gate barrier,Other
Installation of solar water heater 500LPD,Other
Providing and fixing gym equipment flooring rubber,Other
Installation of swimming pool filtration system,Other
Providing and fixing landscape irrigation sprinkler,Other
Installation of car park ventilation jet fan,Other
Supplying and fixing LED display board outdoor,Other
Installation of kitchen hood exhaust system,Other
Providing and fixing raised access flooring 600x600,Other
Providing and laying RCC M25 grade concrete for foundation work including formwork,Civil
Earth work excavation in ordinary soil for foundation trenches up to 1.5m depth,Civil
Brick masonry 230mm thick in cement mortar 1:6 for superstructure walls,Civil
Plastering 12mm thick cement sand mortar 1:4 for internal walls,Civil
Providing and laying vitrified tile 600x600mm for flooring with adhesive,Civil
Steel reinforcement Fe500 grade for RCC structural members,Civil
PCC 1:4:8 plain cement concrete for levelling course 75mm thick,Civil
Formwork for RCC columns using steel shuttering plates,Civil
Anti termite treatment for foundation and plinth area,Civil
Providing and laying granite flooring 18mm thick polished for lobby,Civil
Cement concrete 1:2:4 for roof slab casting with curing,Civil
Supplying and fixing aluminium sliding window with 5mm glass,Civil
Providing and applying wall putty 2 coats and emulsion paint,Civil
Earth filling and compaction in layers of 200mm with approved material,Civil
Providing and laying AAC block 200mm for internal partition walls,Civil
Installation of gypsum board false ceiling with GI grid framework,Civil
Providing and fixing MS railing for staircase with enamel paint,Civil
Supplying and laying Italian marble flooring 20mm thick polished,Civil
Providing and applying exterior acrylic texture paint 2 coats,Civil
Construction of RCC retaining wall M30 grade with reinforcement,Civil
Providing and fixing toughened glass partition 12mm for office,Civil
Supplying and fixing wooden door frame with flush shutter,Civil
Providing and laying kota stone flooring 25mm thick for corridor,Civil
Installation of expansion joint filler board 20mm for RCC slab,Civil
Providing and laying interlocking paver block 80mm thick for driveway,Civil
Construction of compound wall in brick masonry with plastering,Civil
Providing and fixing UPVC casement window with mosquito mesh,Civil
Installation of precast concrete kerb stone along road edge,Civil
Providing and applying primer coat and enamel paint for MS work,Civil
Construction of overhead water tank in RCC M25 grade,Civil
Providing and laying ceramic wall tile 300x450mm for bathroom,Civil
Earth work in rock excavation by mechanical means for basement,Civil
Providing and fixing FRP door frame and shutter for bathroom,Civil
Installation of roof insulation with XPS board 50mm thick,Civil
Providing and fixing stone cladding 20mm for exterior facade wall,Civil
Supplying and laying waterproof membrane for terrace with protection screed,Civil
Providing and applying waterproof cement plaster for external walls,Civil
Construction of storm water drain in RCC with cover slab,Civil
Providing and fixing gypsum board partition with insulation infill,Civil
RCC M20 grade concrete for plinth beam with steel reinforcement,Civil
Providing and laying mosaic tile flooring for common area,Civil
Supplying and fixing anodized aluminium door with hardware fittings,Civil
Providing and laying concrete block 150mm solid for boundary wall,Civil
Installation of stone masonry retaining wall with cement mortar,Civil
Providing and applying acrylic distemper 2 coats for ceiling,Civil
Construction of septic tank in RCC M20 with plastering inside,Civil
Providing and fixing cement fibre board for external cladding,Civil
Earth work filling with sand for plumbing and drainage trenches,Civil
Providing and laying epoxy flooring 2mm thick for parking area,Civil
Supplying and fixing pre-laminated particle board wardrobe with fittings,Civil
Providing and laying RCC M30 concrete for column footing with formwork,Civil
Construction of brick masonry parapet wall 115mm thick with coping,Civil
Providing and fixing venetian blinds for office windows,Civil
Installation of acoustic ceiling tiles 600x600mm with T-grid suspension,Civil
Providing and laying polished porcelain tile 800x800mm for hall,Civil
Supplying and fixing hardwood door frame with panelled shutter,Civil
Providing and applying exterior weather coat paint 2 coats,Civil
Construction of RCC staircase with waist slab and landing,Civil
Providing and laying anti-skid ceramic tile for ramp surface,Civil
Earth work excavation in hard rock by blasting for foundation,Civil
Providing and fixing SS 304 railing for balcony with glass panel,Civil
Installation of damp proof course with bitumen felt membrane,Civil
Providing and laying terrazzo flooring 20mm thick with brass strips,Civil
Construction of RCC raft foundation M25 grade with reinforcement,Civil
Providing and fixing roller shutter door MS for parking entrance,Civil
Supplying and laying natural stone flooring 30mm thick for porch,Civil
Providing and applying interior emulsion paint 2 coats over primer,Civil
Construction of masonry manhole 900x900mm with CI cover and frame,Civil
Providing and fixing powder coated aluminium louver window,Civil
Installation of prefabricated concrete boundary wall panels,Civil
Providing and laying rubber flooring 4mm thick for gym area,Civil
Construction of RCC lintel beam over door and window openings,Civil
Providing and fixing decorative HPL cladding for interior wall,Civil
Earth work excavation for pile foundation by mechanical boring,Civil
Providing and laying acid resistant tile for laboratory flooring,Civil
Supplying and fixing fire rated door 2 hour rating with hardware,Civil
Construction of RCC water sump 10000L capacity underground,Civil
Providing and applying cement based waterproof coating for basement wall,Civil
Providing and laying chequered tile for external walkway,Civil
Installation of metal roofing sheet with purlins and fasteners,Civil
Providing and fixing curtain wall glazing system for facade,Civil
Construction of RCC culvert box type for road crossing,Civil
Providing and laying vinyl flooring 2mm thick for hospital ward,Civil
Earth work in soft rock excavation for utility trench,Civil
Providing and fixing solid core wooden door with veneer finish,Civil
Supplying and laying self-levelling compound for floor preparation,Civil
Construction of gabion wall for slope protection with geotextile,Civil
Providing and fixing ACP cladding 4mm thick for building exterior,Civil
Installation of concrete paving slab 50mm for pedestrian pathway,Civil
Providing and laying quartzite stone flooring for outdoor deck,Civil
Construction of RCC beam 300x450mm with shear reinforcement,Civil
Providing and fixing glass block wall 200x200mm for partition,Civil
Earth work backfilling with excavated soil and compaction,Civil
Providing and laying industrial grade PVC flooring for factory,Civil
Supplying and fixing collapsible gate MS for main entrance,Civil
Construction of dog-legged staircase in RCC with nosing,Civil
Providing and applying anti-fungal paint for bathroom ceiling,Civil
Installation of sandwich panel wall 50mm PUF insulated,Civil
Providing and laying cobblestone paving for landscape pathway,Civil
Construction of RCC pedestal for equipment mounting with bolts,Civil
Cable tray installation 300mm wide perforated with supports and covers,Electrical
Distribution board 12 way TPN with MCB and busbar installation,Electrical
Electrical wiring with PVC conduit 25mm concealed in wall,Electrical
LED panel light 18W surface mounted with driver installation,Electrical
Modular switch and socket 6A with gang box wiring,Electrical
Power outlet 16A with metal back box and earth connection,Electrical
MCB 32A triple pole installation in distribution board,Electrical
Earthing system with copper electrode 3m long and GI strip,Electrical
Cable laying XLPE 4 core 2.5 sqmm in conduit,Electrical
Junction box installation with terminal connectors and cover,Electrical
Providing and fixing electronic fan regulator for ceiling fan,Electrical
Installation of exhaust fan 200mm with wiring and switch,Electrical
Supplying and fixing 3 pin 16A industrial power socket,Electrical
Providing and laying armoured cable 3.5 core 25 sqmm underground,Electrical
Installation of dedicated UPS power socket with separate circuit,Electrical
Providing and fixing modular switch plate 8 module with frame,Electrical
Installation of RCCB 63A 4 pole for earth leakage protection,Electrical
Supplying and fixing LED downlight 15W recessed with housing,Electrical
Providing and fixing battery operated emergency light fitting,Electrical
Cable termination and crimping work for HT cable 11KV,Electrical
Installation of APFC panel for power factor correction,Electrical
Providing and fixing street light pole 7m with LED fitting,Electrical
Supplying and fixing MCB 20A single pole for lighting circuit,Electrical
Installation of oil cooled transformer 250KVA with foundation,Electrical
Providing and laying FR PVC insulated wire 2.5 sqmm in conduit,Electrical
Providing and fixing 3 phase DB with MCCB 100A incomer,Electrical
Installation of cable gland brass type for armoured cable,Electrical
Supplying and laying GI conduit 32mm with accessories and saddles,Electrical
Providing and fixing wall mounted bracket light with LED lamp,Electrical
Installation of occupancy sensor switch for corridor lighting,Electrical
Supplying and fixing telephone outlet RJ11 with face plate,Electrical
Providing and fixing data outlet RJ45 Cat6 with patch cord,Electrical
Installation of TV outlet point with coaxial cabling,Electrical
Supplying and fixing industrial plug and socket 32A 5 pin,Electrical
Providing and fixing weatherproof switch socket IP65 rated,Electrical
Installation of programmable timer switch for outdoor lighting,Electrical
Supplying and fixing electronic dimmer switch for LED lights,Electrical
Providing and fixing bus bar trunking system 400A copper,Electrical
Installation of digital energy meter 3 phase with CT,Electrical
Supplying and fixing spike guard 6 way with surge protection,Electrical
Providing and laying fire survival cable 1.5 sqmm 2 core,Electrical
Installation of LED flood light 100W for outdoor area,Electrical
Supplying and fixing miniature circuit breaker 6A SP for socket,Electrical
Providing and fixing changeover switch 63A 4 pole manual,Electrical
Installation of servo stabilizer 10KVA for sensitive equipment,Electrical
Supplying and laying flexible conduit 25mm with connectors,Electrical
Providing and fixing ceiling rose and batten holder for light,Electrical
Installation of lightning arrester with down conductor and earth pit,Electrical
Supplying and fixing LED tube light 20W with fitting and diffuser,Electrical
Providing and fixing isolator switch 40A 4 pole for AC unit,Electrical
Installation of motor starter DOL type with overload relay,Electrical
Supplying and laying control cable 1.5 sqmm 4 core shielded,Electrical
Providing and fixing call bell push button with buzzer unit,Electrical
Installation of solar inverter 5KW grid tied with mounting,Electrical
Supplying and fixing LED strip light 14.4W per meter with profile,Electrical
Providing and fixing SPN distribution board 8 way with MCB,Electrical
Installation of automatic transfer switch 100A for DG changeover,Electrical
Supplying and laying FRLS cable 4 sqmm single core in tray,Electrical
Providing and fixing garden light bollard type LED 12W,Electrical
Installation of variable frequency drive 5HP for pump motor,Electrical
Supplying and fixing pendant light fitting with LED lamp,Electrical
Providing and laying underground cable 4 core 16 sqmm armoured,Electrical
Installation of power distribution unit 32A for server rack,Electrical
Supplying and fixing track light LED 12W with adapter,Electrical
Providing and fixing main LT panel board with ACB 800A,Electrical
Installation of cable ladder 600mm wide with clamps and supports,Electrical
Supplying and fixing photocell sensor for automatic street light,Electrical
Providing and laying submersible cable 3 core 6 sqmm flat,Electrical
Installation of capacitor bank 50KVAR with contactor and fuse,Electrical
Supplying and fixing recessed floor socket box with data and power,Electrical
Providing and fixing outdoor wall pack light LED 30W,Electrical
Installation of feeder pillar box with MCCB and metering,Electrical
Supplying and laying aerial bunched cable 3 phase for overhead,Electrical
Providing and fixing staircase light with motion sensor switch,Electrical
Installation of DG set synchronization panel with AMF,Electrical
Supplying and fixing CPVC pipe 15mm for hot water supply line,Plumbing
Providing and fixing dual flush concealed cistern for WC,Plumbing
Installation of centrifugal water supply booster pump 1HP,Plumbing
Supplying and fixing GI pipe 50mm for main water supply line,Plumbing
Providing and fixing long body bib cock 15mm chrome plated,Plumbing
Installation of concealed stop cock 20mm with wall flange,Plumbing
Supplying and fixing counter top wash basin with mixer tap,Plumbing
Providing and fixing European style WC with soft close seat,Plumbing
Installation of thermostatic mixing valve for shower,Plumbing
Supplying and fixing bottle trap 32mm chrome plated for basin,Plumbing
Providing and fixing overhead rain shower 200mm with arm,Plumbing
Installation of automatic water softener for supply line,Plumbing
Supplying and fixing bath shower diverter with wall flange,Plumbing
Providing and fixing bathroom mirror with glass shelf,Plumbing
Installation of instant geyser 3KW with safety valve,Plumbing
Supplying and fixing CPVC pipe 25mm for cold water distribution,Plumbing
Providing and fixing PVC pipe 75mm for waste water drainage,Plumbing
Installation of gate valve 40mm brass for water main control,Plumbing
Supplying and fixing wall mounted wash basin with brackets,Plumbing
Providing and fixing single lever basin mixer chrome plated,Plumbing
Installation of water tank float valve 25mm brass,Plumbing
Supplying and fixing floor trap 100mm with SS jali grating,Plumbing
Providing and fixing angle valve 15mm chrome plated for WC,Plumbing
Installation of pressure reducing valve 50mm for high rise,Plumbing
Supplying and fixing urinal with sensor flush valve,Plumbing
Providing and fixing health faucet with SS braided hose,Plumbing
Installation of storage water heater 25L with plumbing connections,Plumbing
Supplying and fixing towel rail 600mm chrome plated for bathroom,Plumbing
Providing and fixing soap dish holder stainless steel wall mounted,Plumbing
Installation of non return valve 32mm for pump discharge line,Plumbing
Supplying and fixing pillar cock tall body for wash basin,Plumbing
Providing and fixing PPR pipe 32mm for hot water recirculation,Plumbing
Installation of butterfly valve 100mm for water main isolation,Plumbing
Supplying and fixing kitchen sink double bowl SS with drain board,Plumbing
Providing and fixing concealed shower mixer with diverter,Plumbing
Installation of submersible pump 2HP for underground sump,Plumbing
Supplying and fixing HDPE pipe 63mm for water supply main,Plumbing
Providing and fixing Indian style WC orissa pan with foot rest,Plumbing
Installation of check valve 25mm spring loaded for pipeline,Plumbing
Supplying and fixing wall mixer with overhead shower arrangement,Plumbing
Providing and fixing PVC pipe 110mm for soil waste stack,Plumbing
Installation of strainer valve 40mm Y type for pump suction,Plumbing
Supplying and fixing wash basin pedestal type with CP waste,Plumbing
Providing and fixing two way bib cock 15mm for washing machine,Plumbing
Installation of water meter 20mm multijet for domestic metering,Plumbing
Supplying and fixing CPVC pipe 20mm with fittings for bathroom,Plumbing
Providing and fixing towel ring chrome plated for bathroom wall,Plumbing
Installation of air valve 50mm for water supply pipeline,Plumbing
Supplying and fixing kitchen faucet single lever with pull out spray,Plumbing
Providing and fixing PVC pipe 160mm for rainwater downpipe,Plumbing
Installation of pressure pump 0.5HP for overhead tank filling,Plumbing
Supplying and fixing grab bar 300mm SS for disabled toilet,Plumbing
Providing and fixing flush cock 32mm concealed type for urinal,Plumbing
Installation of solar water heater connection piping with valves,Plumbing
Supplying and fixing paper holder chrome plated for toilet,Plumbing
Providing and fixing UPVC pipe 75mm for vent stack,Plumbing
Installation of dosing pump for water treatment chemical,Plumbing
Supplying and fixing sensor tap infrared for wash basin,Plumbing
Providing and fixing bathtub acrylic with waste and overflow,Plumbing
Installation of ball valve 50mm for water tank inlet,Plumbing
Supplying and fixing bidet spray with holder and hose,Plumbing
Providing and fixing PVC pipe 50mm for condensate drain,Plumbing
Installation of hot water recirculation pump with timer,Plumbing
Supplying and fixing robe hook double chrome plated,Plumbing
Providing and fixing CPVC elbow 25mm for pipe direction change,Plumbing
Installation of sump pump 1HP for basement water removal,Plumbing
Supplying and fixing shower enclosure glass 900x900mm with tray,Plumbing
Providing and fixing waste coupling 32mm for wash basin drain,Plumbing
Installation of foot operated valve for surgical scrub station,Plumbing
Supplying and fixing GI pipe 25mm with fittings for gas line,Plumbing
Providing and fixing pop up waste 32mm for wash basin,Plumbing
Installation of vacuum breaker 20mm for backflow prevention,Plumbing
Supplying and fixing extension nipple 15mm chrome plated,Plumbing
Providing and fixing multi function hand shower with hose,Plumbing
Installation of pipe insulation 25mm thick for hot water line,Plumbing
Supplying and fixing vanity basin with cabinet and mirror,Plumbing
Providing and fixing PVC solvent cement joint for drainage pipe,Plumbing
Installation of water hammer arrestor for pipeline protection,Plumbing
Supplying and fixing exposed shower mixer with overhead shower,Plumbing
Providing and fixing cleaning eye 110mm PVC for drainage access,Plumbing
Installation of hydropneumatic pressure booster system 3HP,Plumbing
Supplying and fixing SS floor drain 150mm square with trap,Plumbing
Installation of GI pipe 32mm threaded for water distribution,Plumbing
Providing and fixing quarter turn stop cock 15mm for basin,Plumbing
Supplying and fixing CPVC tee 20mm for pipe branching,Plumbing
Installation of centralized hot water system with storage tank,Plumbing
Providing and fixing toilet paper holder recessed type SS,Plumbing
Supply and installation of split AC unit 1.5 ton 5 star inverter,HVAC
Providing and fixing GI duct 24 gauge for supply air distribution,HVAC
Installation of chilled water piping 50mm MS with insulation,HVAC
Supply and erection of AHU 10TR double skin with filter section,HVAC
Installation of VRF outdoor condensing unit 20HP with controls,HVAC
Providing and fixing copper refrigerant piping 3/8 inch with insulation,HVAC
Installation of ceiling cassette AC unit 2 ton with drain pump,HVAC
Supply and fixing of GI return air duct with grille and damper,HVAC
Installation of chiller water cooled 100TR screw type with foundation,HVAC
Providing and fixing flexible duct connector 450mm for AHU,HVAC
Installation of cooling tower FRP induced draft 80TR capacity,HVAC
Supply and installation of fan coil unit 2 pipe ceiling concealed,HVAC
Providing and fixing thermal insulation 25mm nitrile rubber for pipe,HVAC
Installation of exhaust air fan axial type 600mm with motor,HVAC
Supply and fixing of aluminium supply air grille 600x300mm,HVAC
Installation of motorized volume control damper 400x300mm,HVAC
Providing and fixing chilled water pump centrifugal 10HP end suction,HVAC
Installation of condenser water piping 100mm MS with painting,HVAC
Supply and erection of precision AC unit 5TR for server room,HVAC
Providing and fixing duct insulation 25mm glass wool with cladding,HVAC
Installation of fresh air handling unit 2000 CFM with heat recovery,HVAC
Supply and fixing of linear slot diffuser 1200mm 2 slot pattern,HVAC
Installation of expansion vessel 50L for chilled water system,HVAC
Providing and fixing refrigerant leak detector for VRF system,HVAC
Installation of window AC unit 1.5 ton for temporary office,HVAC
Supply and installation of ductable split AC 5.5 ton with duct,HVAC
Providing and fixing air curtain 1200mm for entrance door,HVAC
Installation of condensate drain pipe 20mm PVC with trap,HVAC
Supply and fixing of ceiling mounted return air grille 600x600mm,HVAC
Installation of thermostat digital programmable for AC control,HVAC
Providing and fixing vibration isolator spring type for AHU,HVAC
Installation of smoke exhaust fan centrifugal 400 degree rated,HVAC
Supply and erection of package AC unit 10TR rooftop with curb,HVAC
Providing and fixing pre-insulated duct panel 25mm PIR board,HVAC
Installation of BMS controller for HVAC system monitoring,HVAC
Supply and fixing of jet nozzle diffuser for high ceiling area,HVAC
Installation of water treatment dosing system for cooling tower,HVAC
Providing and fixing copper pipe 1/2 inch for split AC connection,HVAC
Installation of VRV branch selector box for multi-zone control,HVAC
Supply and installation of heat pump air source 5TR for heating,HVAC
Providing and fixing canvas duct connector for vibration isolation,HVAC
Installation of pressurization fan for staircase 5000 CFM,HVAC
Supply and fixing of egg crate grille 600x600mm aluminium,HVAC
Installation of three way motorized valve for AHU coil control,HVAC
Providing and fixing pipe support MS clamp type for chilled water,HVAC
Installation of air washer unit 3000 CFM for humidification,HVAC
Supply and erection of dry cooler 50KW for free cooling system,HVAC
Providing and fixing acoustic lining 25mm for duct interior,HVAC
Installation of differential pressure switch for filter monitoring,HVAC
Supply and fixing of floor mounted return air grille with filter,HVAC
Installation of refrigerant piping 5/8 inch with brazing and testing,HVAC
Providing and fixing condensate pump for ceiling cassette AC unit,HVAC
Installation of energy recovery ventilator 1000 CFM with controls,HVAC
Supply and installation of mini split AC 1 ton for cabin,HVAC
Providing and fixing GI spiral duct 300mm dia for exhaust system,HVAC
Installation of chilled water buffer tank 500L with insulation,HVAC
Supply and fixing of adjustable supply air diffuser 300x300mm,HVAC
Installation of water cooled VRF system 30HP with heat recovery,HVAC
Providing and fixing duct access door 300x300mm with handle,HVAC
Installation of centrifugal inline fan 200mm for toilet exhaust,HVAC
Supply and erection of air cooled chiller 50TR scroll compressor,HVAC
Providing and fixing fire damper 400x300mm with fusible link,HVAC
